published_at,headline,source,description,url,neg,neu,pos,compound
2024-11-27 17:21:15+00:00,How To Earn $500 A Month From Apple Stock,Yahoo Entertainment,Apple Inc. (NASDAQ:AAPL) shares closed slightly higher on Tuesday. Apple is reportedly changing its approach to software updates. The tech giant appears to...,https://finance.yahoo.com/news/earn-500-month-apple-stock-172115528.html,0.0,1.0,0.0,0.0
2024-11-26 08:33:27+00:00,Tim Cook Joins US Executives To Attend China Expo As Donald Trump Threatens Extra Tariffs On Sino Goods,Biztoc.com,"Amid growing concerns over potential trade tensions, Tim Cook, CEO of Apple Inc. (NASDAQ:AAPL) , along with other prominent American business leaders, are in China this week. Their visit coincides with the ‘China International Supply Chain Expo’ and includes …",https://biztoc.com/x/2bda58fc864e65fc,0.133,0.867,0.0,-0.3818
2024-11-24 13:22:44+00:00,Is Apple Inc. (AAPL) Still a Key Fixture in Warren Buffett’s Portfolio?,Yahoo Entertainment,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3dcb8d39-ee03-4ee1-a616-d273471512a8,0.0,1.0,0.0,0.0
2024-11-25 10:21:08+00:00,Apple’s Cook Joins CEO Summit with China Premier as Economy Sags,Yahoo Entertainment,"(Bloomberg) -- Apple Inc. Chief Executive Officer Tim Cook joined more than 20 corporate leaders in discussions with China’s premier Monday, as global...",https://finance.yahoo.com/news/apple-chief-returns-china-beijing-025800892.html,0.0,1.0,0.0,0.0
2024-11-27 05:59:36+00:00,"Apple Misses Out on Big 2024 Smartphone Market Rebound, IDC Says",Yahoo Entertainment,"(Bloomberg) -- Global smartphone sales rebounded strongly in 2024 after two successive years of decline, but Apple Inc. barely managed growth, an independent...",https://finance.yahoo.com/news/apple-misses-big-2024-smartphone-055936413.html,0.16,0.84,0.0,-0.2263
2024-11-24 21:53:03+00:00,"India Rejects Apple’s Request to Pause Antitrust Report, Reuters Says",Yahoo Entertainment,(Bloomberg) -- Apple Inc.’s request to put on hold a report that found it breached competition laws in India was rejected by the country’s antitrust body...,https://finance.yahoo.com/news/india-rejects-apple-request-pause-215303217.html,0.262,0.738,0.0,-0.4939
2024-11-25 09:38:08+00:00,Apple chief returns to China as Beijing prepares to fete CEOs,Digitimes,"Apple Inc. Chief Executive Officer Tim Cook is visiting China for at least the third time this year, showing up at a suppliers' conference on the same day a top Beijing official convened an important meeting with a group of foreign CEOs.",https://www.digitimes.com/news/a20241125VL202/tim-cook-beijing-apple-china-supply-chain.html,0.0,1.0,0.0,0.0
2024-11-27 08:10:52+00:00,Apple Inc. (NASDAQ:AAPL) Shares Purchased by Tilia Fiduciary Partners Inc.,ETF Daily News,"Tilia Fiduciary Partners Inc. raised its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 5.3% during the third quarter, HoldingsChannel.com reports. The firm owned 32,816 shares of the iPhone maker’s stock after acquiring an additional 1,656 s…",https://www.etfdailynews.com/2024/11/27/apple-inc-nasdaqaapl-shares-purchased-by-tilia-fiduciary-partners-inc/,0.0,0.804,0.196,0.296
2024-11-24 08:02:51+00:00,Atwood & Palmer Inc. Buys 932 Shares of Apple Inc. (NASDAQ:AAPL),ETF Daily News,"Atwood & Palmer Inc. boosted its stake in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.7% in the third quarter, Holdings Channel reports. The firm owned 128,776 shares of the iPhone maker’s stock after acquiring an additional 932 shares during the pe…",https://www.etfdailynews.com/2024/11/24/atwood-palmer-inc-buys-932-shares-of-apple-inc-nasdaqaapl/,0.0,0.804,0.196,0.296
2024-11-27 08:10:50+00:00,Apple Inc. (NASDAQ:AAPL) is Barlow Wealth Partners Inc.’s 7th Largest Position,ETF Daily News,"Barlow Wealth Partners Inc. grew its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.4% during the third quarter, HoldingsChannel reports. The firm owned 118,888 shares of the iPhone maker’s stock after purchasing an additional 524 shares du…",https://www.etfdailynews.com/2024/11/27/apple-inc-nasdaqaapl-is-barlow-wealth-partners-inc-s-7th-largest-position/,0.0,0.758,0.242,0.4939
2024-11-26 08:49:10+00:00,Apple Inc. (NASDAQ:AAPL) Stock Position Reduced by Leibman Financial Services Inc.,ETF Daily News,"Leibman Financial Services Inc. lessened its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 3.8% during the 3rd quarter, according to the company in its most recent 13F filing with the SEC. The firm owned 22,364 shares of the iPhone maker’s stock after se…",https://www.etfdailynews.com/2024/11/26/apple-inc-nasdaqaapl-stock-position-reduced-by-leibman-financial-services-inc/,0.0,1.0,0.0,0.0
2024-11-29 22:42:33+00:00,Apple(AAPL)の株価が11月29日(現地時間)に日中最高値で過去最高値を更新,Minatokobe.com,"日中最高値で過去最高値を更新 11月29日(現地時間)、ナスダック市場での取引において、Apple Inc. (AAPL) の株価の日中最高値が 237.81ドルを記録し10月15日（現地時間)の237.49ドルを超え、日中最高値を更新しました。 終値は、前日から+1.02%アップの237.33ドルでした。 Appleの52週間の最低値は164.08ドル(2024/04/19)です。 時価総額 Apple (AAPL) ： 3兆5,870億ドル NVIDIA (NVDA) ： 3兆3,860億ドル Microso…",https://minatokobe.com/wp/apple/post-101078.html,0.0,1.0,0.0,0.0
2024-11-25 08:10:45+00:00,Apple Inc. (NASDAQ:AAPL) Shares Purchased by Callan Family Office LLC,ETF Daily News,"Callan Family Office LLC boosted its holdings in Apple Inc. (NASDAQ:AAPL – Free Report) by 53.6% during the 3rd quarter, according to its most recent disclosure with the Securities and Exchange Commission (SEC). The fund owned 73,507 shares of the iPhone make…",https://www.etfdailynews.com/2024/11/25/apple-inc-nasdaqaapl-shares-purchased-by-callan-family-office-llc/,0.0,0.804,0.196,0.296
2024-11-27 08:10:54+00:00,Adirondack Trust Co. Reduces Stock Holdings in Apple Inc. (NASDAQ:AAPL),ETF Daily News,"Adirondack Trust Co. decreased its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.5% in the third quarter, Holdings Channel.com reports. The firm owned 72,392 shares of the iPhone maker’s stock after selling 380 shares during the period. Ap…",https://www.etfdailynews.com/2024/11/27/adirondack-trust-co-reduces-stock-holdings-in-apple-inc-nasdaqaapl/,0.0,0.732,0.268,0.5106
2024-11-27 08:10:50+00:00,Apple Inc. (NASDAQ:AAPL) Shares Sold by Abner Herrman & Brock LLC,ETF Daily News,"Abner Herrman & Brock LLC reduced its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 0.3% during the 3rd quarter, Holdings Channel.com reports. The firm owned 103,074 shares of the iPhone maker’s stock after selling 307 shares during the period. Apple acc…",https://www.etfdailynews.com/2024/11/27/apple-inc-nasdaqaapl-shares-sold-by-abner-herrman-brock-llc/,0.0,0.804,0.196,0.296
